11 Alder Court, ATHERSTONE
The Salisbury Centre, Edinburgh
The Salon Training Center, Portsmouth
The Spectrum, Rotherham
The Steelyard, London
The Stores, Great Waltham
The Three Swans Hotel, Market Harborough
The Training Centre of Wellbeing, Carcroft
The Venue, Chester-le-Street
The View Marquee at The 6 Acres, Drighlington
The Wellbeing Farm Ltd, Edgworth
The Wychbury Room, Hagley
The Y - Theatre, City Centre
The Yoga Shed Crieff, Crieff
Three Ways House Hotel, Chipping Campden
Training Room 2, NPT - Day 1, Room 1.479 Day 2, Newport
Training Venue, Glasgow
Training Venue, Manchester
Training room 3 Office for National Statistics, Newport
Tramshed Cardiff, Cardiff
Trinity Academy Halifax, Halifax
Tyne and Wear Fire and Rescue Service, Sunderland
UNION, London
Ulverscroft Manor Activity Centre, Leicestershire
Uncommon, London
United Church of Egham, Egham
University Centre Peterborough, Peterborough
University College of Osteopathy, London
University of Wolverhampton - Rosalind Franklin Science Building, Wolverhampton
VIVA Blackpool, Blackpool
Venue Cymru, Llandudno
Venue To Be Confirmed, Manchester
Viables Community Centre, Basingstoke
Victoria Park Community Centre
Village Hotel Ashton, Manchester
Viva Blackpool, Blackpool
Waterstones, London
Wheaton Aston Sports & Social Club, Wheaton Aston
Wild Card Brewery, London
Winchester Baptist Church, Winchester
Woodbury Park, Woodbury
Worlebury Golf Club, Weston-super-Mare
Wrag Barn Golf Club, Highworth
Wye Learn CIC, Hereford
Wyming Brook/Fox Hagg Nature Reserves, Sheffield
YO18 7DU, Pickering
Your Psychology Ltd, Wolverhampton
Youth Zone Youth Work Services, Greenock
Zenith House, Solihull
Zephyr Lounge, Leamington Spa
Zigfrid von Underbelly, London
Zoo Too, London
etc.venues Victoria, London
soulful Cellar, CROYDON
